Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Thu Feb 28 2013,Louisiana-Lafayette,68,Arkansas-Little Rock,77,,
Thu Feb 28 2013,Florida International,67,Louisiana-Monroe,58,,
Thu Feb 28 2013,Arkansas State,50,North Texas,74,,
Thu Feb 28 2013,Middle Tennessee,66,Troy,56,,
Thu Feb 28 2013,South Alabama,73,Western Kentucky,79,,
Sat Mar 2 2013,Arkansas State,71,Arkansas-Little Rock,78,,
Sat Mar 2 2013,Florida International,60,Florida Atlantic,77,,
Sat Mar 2 2013,Louisiana-Lafayette,71,Louisiana-Monroe,63,,
Sat Mar 2 2013,South Alabama,53,Troy,49,,
Sat Mar 2 2013,Middle Tennessee,70,Western Kentucky,62,,
Fri Mar 8 2013,Troy,81,Florida Atlantic,79,OT,Sun Belt First Round
Fri Mar 8 2013,North Texas,55,Louisiana-Lafayette,74,,Sun Belt First Round
Fri Mar 8 2013,Western Kentucky,74,Louisiana-Monroe,60,,Sun Belt First Round
Sat Mar 9 2013,Troy,63,Arkansas State,68,OT,Sun Belt Quarterfinal Round
Sat Mar 9 2013,Florida International,69,Arkansas-Little Rock,54,,Sun Belt Quarterfinal Round
Sat Mar 9 2013,Middle Tennessee,81,Louisiana-Lafayette,66,,Sun Belt Quarterfinal Round
Sat Mar 9 2013,Western Kentucky,62,South Alabama,59,,Sun Belt Quarterfinal Round
Sun Mar 10 2013,Western Kentucky,58,Arkansas State,56,,Sun Belt Semifinal Round
Sun Mar 10 2013,Middle Tennessee,57,Florida International,61,,Sun Belt Semifinal Round
Mon Mar 11 2013,Western Kentucky,65,Florida International,63,,Sun Belt Final
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Jan 9 2013,Western Michigan,43,Akron,65,,
Wed Jan 9 2013,Bowling Green State,67,Central Michigan,73,,
Wed Jan 9 2013,Ball State,60,Eastern Michigan,58,,
Wed Jan 9 2013,Toledo,70,Kent State,58,,
Wed Jan 9 2013,Northern Illinois,72,Miami (OH),61,,
Wed Jan 9 2013,Buffalo,68,Ohio,86,,
Sat Jan 12 2013,Kent State,61,Ball State,47,,
Sat Jan 12 2013,Eastern Michigan,44,Bowling Green State,46,,
Sat Jan 12 2013,Miami (OH),58,Buffalo,57,,
Sat Jan 12 2013,Akron,68,Northern Illinois,53,,
Sat Jan 12 2013,Central Michigan,72,Toledo,76,OT,
Sat Jan 12 2013,Ohio,61,Western Michigan,59,,
Tue Jan 15 2013,Central Michigan,52,Eastern Michigan,58,,
Wed Jan 16 2013,Ball State,64,Akron,71,,
Wed Jan 16 2013,Kent State,80,Buffalo,68,,
Wed Jan 16 2013,Bowling Green State,60,Miami (OH),63,,
Wed Jan 16 2013,Northern Illinois,63,Ohio,81,,
Wed Jan 16 2013,Toledo,56,Western Michigan,79,,
Sat Jan 19 2013,Bowling Green State,65,Buffalo,68,,
Sat Jan 19 2013,Ball State,57,Central Michigan,71,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 19 2013,Miami (OH),58,Eastern Michigan,65,,
Sat Jan 19 2013,Akron,71,Kent State,67,,
Sat Jan 19 2013,Western Michigan,71,Northern Illinois,34,,
Sat Jan 19 2013,Toledo,67,Ohio,76,,
Wed Jan 23 2013,Buffalo,66,Ball State,63,,
Wed Jan 23 2013,Kent State,55,Bowling Green State,70,,
Wed Jan 23 2013,Northern Illinois,74,Central Michigan,61,,
Wed Jan 23 2013,Ohio,74,Miami (OH),62,,
Wed Jan 23 2013,Akron,71,Toledo,56,,
Wed Jan 23 2013,Eastern Michigan,59,Western Michigan,63,,
Sat Jan 26 2013,Buffalo,64,Akron,68,,
Sat Jan 26 2013,Western Michigan,76,Central Michigan,59,,
Sat Jan 26 2013,Northern Illinois,25,Eastern Michigan,42,,
Sat Jan 26 2013,Ohio,69,Kent State,68,,
Sat Jan 26 2013,Ball State,82,Miami (OH),62,,
Sat Jan 26 2013,Bowling Green State,62,Toledo,75,,
Wed Jan 30 2013,Toledo,85,Ball State,78,,
Wed Jan 30 2013,Akron,68,Bowling Green State,55,,
Wed Jan 30 2013,Central Michigan,73,Buffalo,91,,
Wed Jan 30 2013,Western Michigan,72,Miami (OH),68,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Jan 30 2013,Kent State,65,Northern Illinois,67,,
Sat Feb 2 2013,Ohio,72,Akron,86,,
Sat Feb 2 2013,Ball State,59,Bowling Green State,70,,
Sat Feb 2 2013,Miami (OH),70,Central Michigan,61,,
Sat Feb 2 2013,Eastern Michigan,62,Kent State,77,,
Sat Feb 2 2013,Toledo,69,Northern Illinois,64,,
Sat Feb 2 2013,Buffalo,60,Western Michigan,71,,
Tue Feb 5 2013,Central Michigan,56,Akron,68,,
Wed Feb 6 2013,Ohio,69,Ball State,42,,
Wed Feb 6 2013,Buffalo,46,Eastern Michigan,65,,
Wed Feb 6 2013,Bowling Green State,57,Northern Illinois,41,,
Wed Feb 6 2013,Miami (OH),64,Toledo,65,,
Wed Feb 6 2013,Kent State,76,Western Michigan,82,,
Sat Feb 9 2013,Western Michigan,62,Ball State,65,,
Sat Feb 9 2013,Northern Illinois,54,Buffalo,59,,
Sat Feb 9 2013,Central Michigan,72,Kent State,87,,
Sat Feb 9 2013,Akron,54,Miami (OH),50,,
Sat Feb 9 2013,Bowling Green State,63,Ohio,72,,
Sat Feb 9 2013,Eastern Michigan,52,Toledo,60,,
Wed Feb 13 2013,Western Michigan,60,Bowling Green State,70,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Feb 13 2013,Toledo,60,Buffalo,75,,
Wed Feb 13 2013,Ohio,82,Central Michigan,63,,
Wed Feb 13 2013,Akron,70,Eastern Michigan,62,,
Wed Feb 13 2013,Miami (OH),70,Kent State,87,,
Wed Feb 13 2013,Ball State,56,Northern Illinois,52,,
Sat Feb 16 2013,Bowling Green State,50,Akron,67,,
Sat Feb 16 2013,Eastern Michigan,56,Ball State,50,,
Sat Feb 16 2013,Toledo,73,Central Michigan,64,,
Sat Feb 16 2013,Buffalo,79,Miami (OH),71,,
Sat Feb 16 2013,Kent State,75,Ohio,78,OT,
Sat Feb 16 2013,Northern Illinois,58,Western Michigan,66,,
Wed Feb 20 2013,Eastern Michigan,50,Ohio,73,,
Wed Feb 27 2013,Central Michigan,90,Ball State,95,,
Wed Feb 27 2013,Miami (OH),44,Bowling Green State,52,,
Wed Feb 27 2013,Buffalo,81,Kent State,83,OT,
Wed Feb 27 2013,Eastern Michigan,53,Northern Illinois,41,,
Wed Feb 27 2013,Akron,88,Ohio,81,OT,
Wed Feb 27 2013,Western Michigan,65,Toledo,62,,
Sat Mar 2 2013,Ohio,78,Bowling Green State,65,,
Sat Mar 2 2013,Akron,67,Buffalo,81,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Mar 2 2013,Western Michigan,49,Eastern Michigan,50,OT,
Sat Mar 2 2013,Kent State,78,Miami (OH),58,,
Sat Mar 2 2013,Central Michigan,69,Northern Illinois,50,,
Sat Mar 2 2013,Ball State,86,Toledo,72,,
Tue Mar 5 2013,Miami (OH),58,Akron,72,,
Tue Mar 5 2013,Ohio,72,Buffalo,69,,
Tue Mar 5 2013,Eastern Michigan,59,Central Michigan,61,,
Tue Mar 5 2013,Bowling Green State,61,Kent State,69,,
Tue Mar 5 2013,Northern Illinois,46,Toledo,70,,
Tue Mar 5 2013,Ball State,89,Western Michigan,85,,
Fri Mar 8 2013,Kent State,68,Akron,64,,
Fri Mar 8 2013,Buffalo,65,Bowling Green State,76,,
Sat Mar 9 2013,Northern Illinois,51,Ball State,53,,
Sat Mar 9 2013,Toledo,78,Eastern Michigan,67,,
Sat Mar 9 2013,Miami (OH),54,Ohio,58,,
Sat Mar 9 2013,Central Michigan,68,Western Michigan,71,,
Mon Mar 11 2013,Miami (OH),63,Bowling Green State,52,,MAC First Round
Mon Mar 11 2013,Central Michigan,72,Buffalo,74,OT,MAC First Round
Mon Mar 11 2013,Northern Illinois,44,Eastern Michigan,45,,MAC First Round
Wed Mar 13 2013,Buffalo,76,Ball State,61,,MAC Second Round
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Mar 13 2013,Miami (OH),47,Eastern Michigan,58,,MAC Second Round
Thu Mar 14 2013,Kent State,70,Buffalo,68,,MAC Quarterfinal Round
Thu Mar 14 2013,Western Michigan,70,Eastern Michigan,55,,MAC Quarterfinal Round
Fri Mar 15 2013,Kent State,59,Akron,62,,MAC Semifinal Round
Fri Mar 15 2013,Western Michigan,63,Ohio,74,,MAC Semifinal Round
Sat Mar 16 2013,Ohio,46,Akron,65,,MAC Final
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 12 2013,Army,55,Bucknell,76,,
Sat Jan 12 2013,American,72,Colgate,63,,
Sat Jan 12 2013,Navy,47,Lafayette,64,,
Sat Jan 12 2013,Holy Cross,47,Lehigh,79,,
Wed Jan 16 2013,Lehigh,63,American,57,,
Wed Jan 16 2013,Lafayette,54,Army,77,,
Wed Jan 16 2013,Bucknell,73,Colgate,59,,
Wed Jan 16 2013,Holy Cross,62,Navy,47,,
Sat Jan 19 2013,Lafayette,51,Bucknell,66,,
Sat Jan 19 2013,American,60,Holy Cross,79,,
Sat Jan 19 2013,Colgate,45,Lehigh,60,,
Sun Jan 20 2013,Navy,59,Army,50,,
Wed Jan 23 2013,Navy,49,American,72,,
Wed Jan 23 2013,Lehigh,65,Bucknell,62,,
Wed Jan 23 2013,Army,90,Colgate,93,OT,
Wed Jan 23 2013,Holy Cross,53,Lafayette,63,,
Sat Jan 26 2013,American,64,Army,77,,
Sat Jan 26 2013,Bucknell,65,Holy Cross,58,,
Sat Jan 26 2013,Colgate,70,Navy,56,,
Sun Jan 27 2013,Lafayette,78,Lehigh,57,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Jan 30 2013,Bucknell,56,American,55,,
Wed Jan 30 2013,Army,80,Holy Cross,66,,
Wed Jan 30 2013,Colgate,40,Lafayette,69,,
Wed Jan 30 2013,Lehigh,71,Navy,49,,
Sat Feb 2 2013,Lafayette,64,American,68,,
Sat Feb 2 2013,Navy,54,Bucknell,69,,
Sat Feb 2 2013,Holy Cross,45,Colgate,63,,
Sun Feb 3 2013,Lehigh,85,Army,76,,
Sat Feb 9 2013,Colgate,55,American,70,,
Sat Feb 9 2013,Bucknell,60,Army,58,,
Sat Feb 9 2013,Lehigh,68,Holy Cross,61,,
Sat Feb 9 2013,Lafayette,70,Navy,47,,
Tue Feb 12 2013,Navy,57,Holy Cross,66,,
Wed Feb 13 2013,Colgate,61,Bucknell,69,,
Wed Feb 13 2013,Army,85,Lafayette,68,,
Wed Feb 13 2013,American,47,Lehigh,60,,
Sat Feb 16 2013,Lehigh,60,Colgate,64,,
Sat Feb 16 2013,Bucknell,62,Lafayette,63,,
Sat Feb 16 2013,Army,56,Navy,55,,
Sun Feb 17 2013,Holy Cross,61,American,64,OT,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Mon Feb 18 2013,Bucknell,61,Lehigh,55,,
Wed Feb 20 2013,Colgate,63,Army,77,,
Wed Feb 20 2013,Lafayette,79,Holy Cross,76,,
Wed Feb 20 2013,American,44,Navy,50,,
Sat Feb 23 2013,Army,72,American,58,,
Sun Feb 24 2013,Holy Cross,57,Bucknell,74,,
Sun Feb 24 2013,Navy,46,Colgate,59,,
Sun Feb 24 2013,Lehigh,71,Lafayette,79,,
Wed Feb 27 2013,Holy Cross,62,Army,69,,
Wed Feb 27 2013,American,47,Bucknell,66,,
Wed Feb 27 2013,Lafayette,80,Colgate,67,,
Wed Feb 27 2013,Navy,43,Lehigh,72,,
Sat Mar 2 2013,Colgate,59,Holy Cross,74,,
Sat Mar 2 2013,American,72,Lafayette,80,,
Sat Mar 2 2013,Army,75,Lehigh,81,,
Sat Mar 2 2013,Bucknell,62,Navy,46,,
Wed Mar 6 2013,American,44,Army,65,,Patriot Quarterfinal Round
Wed Mar 6 2013,Navy,42,Bucknell,58,,Patriot Quarterfinal Round
Wed Mar 6 2013,Holy Cross,54,Lafayette,77,,Patriot Quarterfinal Round
Wed Mar 6 2013,Colgate,64,Lehigh,71,,Patriot Quarterfinal Round
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Mar 9 2013,Army,70,Bucknell,78,,Patriot Semifinal Round
Sat Mar 9 2013,Lehigh,69,Lafayette,82,,Patriot Semifinal Round
Wed Mar 13 2013,Lafayette,56,Bucknell,64,,Patriot Final
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Thu Jan 2 2014,Holy Cross,60,Boston University,70,,
Thu Jan 2 2014,American,67,Bucknell,57,,
Thu Jan 2 2014,Lehigh,88,Colgate,81,2OT,
Thu Jan 2 2014,Army,85,Lafayette,66,,
Thu Jan 2 2014,Navy,57,Loyola (MD),63,OT,
Sun Jan 5 2014,Loyola (MD),82,Army,91,,
Sun Jan 5 2014,Colgate,57,Bucknell,68,,
Sun Jan 5 2014,American,69,Holy Cross,54,,
Sun Jan 5 2014,Boston University,67,Lehigh,66,,
Sun Jan 5 2014,Lafayette,71,Navy,79,,
Tue Jan 7 2014,Navy,32,Boston University,55,,
Wed Jan 8 2014,Loyola (MD),51,American,65,,
Wed Jan 8 2014,Colgate,64,Holy Cross,73,,
Wed Jan 8 2014,Bucknell,96,Lafayette,86,,
Wed Jan 8 2014,Army,79,Lehigh,76,,
Sat Jan 11 2014,Holy Cross,57,Bucknell,61,,
Sat Jan 11 2014,American,69,Colgate,62,,
Sat Jan 11 2014,Boston University,89,Lafayette,78,,
Sat Jan 11 2014,Lehigh,68,Loyola (MD),72,,
Sat Jan 11 2014,Army,60,Navy,55,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Mon Jan 13 2014,Lafayette,63,Loyola (MD),77,,
Wed Jan 15 2014,Holy Cross,78,Army,75,,
Wed Jan 15 2014,Colgate,58,Boston University,66,,
Wed Jan 15 2014,American,65,Lehigh,63,,
Wed Jan 15 2014,Bucknell,61,Navy,62,,
Sat Jan 18 2014,Lafayette,61,American,66,,
Sat Jan 18 2014,Navy,41,Colgate,63,,
Sat Jan 18 2014,Lehigh,42,Holy Cross,61,,
Sun Jan 19 2014,Bucknell,67,Army,74,,
Mon Jan 20 2014,Loyola (MD),58,Boston University,72,,
Wed Jan 22 2014,Boston University,56,American,86,,
Wed Jan 22 2014,Loyola (MD),60,Bucknell,70,,
Wed Jan 22 2014,Army,66,Colgate,63,,
Wed Jan 22 2014,Holy Cross,59,Lafayette,58,,
Wed Jan 22 2014,Lehigh,68,Navy,66,OT,
Sat Jan 25 2014,American,84,Army,74,,
Sat Jan 25 2014,Boston University,64,Bucknell,61,,
Sat Jan 25 2014,Lafayette,68,Lehigh,71,,
Sat Jan 25 2014,Colgate,60,Loyola (MD),67,,
Sat Jan 25 2014,Holy Cross,67,Navy,52,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Mon Jan 27 2014,Colgate,75,Lafayette,68,,
Wed Jan 29 2014,Navy,52,American,74,,
Wed Jan 29 2014,Army,81,Boston University,86,OT,
Wed Jan 29 2014,Loyola (MD),51,Holy Cross,60,,
Wed Jan 29 2014,Bucknell,63,Lehigh,66,,
Sat Feb 1 2014,Holy Cross,57,American,63,,
Sat Feb 1 2014,Lehigh,82,Boston University,80,OT,
Sat Feb 1 2014,Bucknell,79,Colgate,68,,
Sat Feb 1 2014,Navy,54,Lafayette,72,,
Sat Feb 1 2014,Army,77,Loyola (MD),71,,
Tue Feb 4 2014,Holy Cross,69,Colgate,68,,
Wed Feb 5 2014,Lehigh,51,Army,70,,
Wed Feb 5 2014,Lafayette,66,Bucknell,58,,
Wed Feb 5 2014,American,58,Loyola (MD),62,,
Wed Feb 5 2014,Boston University,61,Navy,48,,
Sat Feb 8 2014,Colgate,63,American,60,,
Sat Feb 8 2014,Navy,79,Army,57,,
Sat Feb 8 2014,Lafayette,54,Boston University,88,,
Sat Feb 8 2014,Loyola (MD),52,Lehigh,66,,
Sun Feb 9 2014,Bucknell,50,Holy Cross,66,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Feb 12 2014,Lehigh,44,American,64,,
Wed Feb 12 2014,Navy,57,Bucknell,78,,
Wed Feb 12 2014,Boston University,76,Colgate,74,,
Wed Feb 12 2014,Army,63,Holy Cross,66,,
Wed Feb 12 2014,Loyola (MD),44,Lafayette,61,,
Sat Feb 15 2014,Army,61,Bucknell,73,,
Sat Feb 15 2014,American,62,Lafayette,74,,
Sat Feb 15 2014,Holy Cross,72,Lehigh,67,,
Sat Feb 15 2014,Boston University,87,Loyola (MD),72,,
Sat Feb 15 2014,Colgate,61,Navy,71,,
Wed Feb 19 2014,Colgate,66,Army,74,,
Wed Feb 19 2014,American,62,Boston University,71,,
Wed Feb 19 2014,Lafayette,76,Holy Cross,64,,
Wed Feb 19 2014,Navy,65,Lehigh,72,,
Wed Feb 19 2014,Bucknell,55,Loyola (MD),53,,
Sat Feb 22 2014,Army,54,American,58,,
Sat Feb 22 2014,Loyola (MD),60,Colgate,84,,
Sun Feb 23 2014,Bucknell,63,Boston University,53,,
Sun Feb 23 2014,Navy,57,Holy Cross,74,,
Sun Feb 23 2014,Lehigh,71,Lafayette,77,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Feb 26 2014,Boston University,71,Army,70,,
Wed Feb 26 2014,Lehigh,61,Bucknell,65,,
Wed Feb 26 2014,Lafayette,66,Colgate,83,,
Wed Feb 26 2014,Holy Cross,65,Loyola (MD),52,,
Wed Feb 26 2014,American,64,Navy,55,,
Sat Mar 1 2014,Bucknell,56,American,51,,
Sat Mar 1 2014,Lafayette,84,Army,87,,
Sat Mar 1 2014,Boston University,68,Holy Cross,64,,
Sat Mar 1 2014,Colgate,74,Lehigh,57,,
Sat Mar 1 2014,Loyola (MD),67,Navy,65,,
Mon Mar 3 2014,Navy,51,Colgate,57,,Patriot First Round
Mon Mar 3 2014,Lafayette,84,Loyola (MD),71,,Patriot First Round
Wed Mar 5 2014,Colgate,50,American,59,,Patriot Quarterfinal
Wed Mar 5 2014,Lafayette,54,Boston University,91,,Patriot Quarterfinal
Wed Mar 5 2014,Army,72,Bucknell,71,,Patriot Quarterfinal
Wed Mar 5 2014,Lehigh,48,Holy Cross,54,,Patriot Quarterfinal
Sat Mar 8 2014,Holy Cross,46,American,57,,Patriot Semifinal
Sat Mar 8 2014,Army,70,Boston University,91,,Patriot Semifinal
Wed Mar 12 2014,American,55,Boston University,36,,Patriot Final
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Thu Jan 2 2014,Texas-Pan American,85,Grand Canyon,91,,
Thu Jan 2 2014,Missouri-Kansas City,80,Idaho,74,,
Sat Jan 4 2014,Utah Valley,82,Cal State Bakersfield,74,,
Sat Jan 4 2014,New Mexico State,84,Grand Canyon,62,,
Sat Jan 4 2014,Chicago State,57,Idaho,55,,
Sat Jan 4 2014,Missouri-Kansas City,95,Seattle,84,,
Thu Jan 9 2014,Grand Canyon,66,Cal State Bakersfield,63,,
Thu Jan 9 2014,Seattle,87,New Mexico State,96,,
Thu Jan 9 2014,Idaho,86,Texas-Pan American,85,2OT,
Sat Jan 11 2014,Chicago State,68,Missouri-Kansas City,66,,
Sat Jan 11 2014,Idaho,54,New Mexico State,78,,
Sat Jan 11 2014,Seattle,64,Texas-Pan American,46,,
Sat Jan 11 2014,Grand Canyon,58,Utah Valley,65,,
Thu Jan 16 2014,New Mexico State,81,Chicago State,86,,
Thu Jan 16 2014,Utah Valley,71,Idaho,66,,
Thu Jan 16 2014,Texas-Pan American,78,Missouri-Kansas City,66,,
Thu Jan 16 2014,Cal State Bakersfield,61,Seattle,57,,
Sat Jan 18 2014,Texas-Pan American,84,Chicago State,61,,
Sat Jan 18 2014,Cal State Bakersfield,61,Idaho,64,,
Sat Jan 18 2014,New Mexico State,66,Missouri-Kansas City,68,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sun Jan 19 2014,Utah Valley,52,Seattle,51,,
Thu Jan 23 2014,Chicago State,71,Cal State Bakersfield,63,,
Thu Jan 23 2014,Idaho,73,Grand Canyon,86,,
Thu Jan 23 2014,Missouri-Kansas City,48,Utah Valley,66,,
Sat Jan 25 2014,Missouri-Kansas City,70,Cal State Bakersfield,69,,
Sat Jan 25 2014,Seattle,63,Grand Canyon,71,,
Sat Jan 25 2014,Texas-Pan American,78,New Mexico State,90,,
Sat Jan 25 2014,Chicago State,55,Utah Valley,62,,
Thu Jan 30 2014,Grand Canyon,76,Chicago State,75,,
Thu Jan 30 2014,Cal State Bakersfield,86,New Mexico State,88,,
Thu Jan 30 2014,Utah Valley,67,Texas-Pan American,53,,
Sat Feb 1 2014,Seattle,68,Idaho,67,,
Sat Feb 1 2014,Grand Canyon,72,Missouri-Kansas City,53,,
Sat Feb 1 2014,Utah Valley,49,New Mexico State,72,,
Sat Feb 1 2014,Cal State Bakersfield,72,Texas-Pan American,64,,
Thu Feb 6 2014,Utah Valley,79,Grand Canyon,68,,
Thu Feb 6 2014,New Mexico State,67,Idaho,73,,
Thu Feb 6 2014,Texas-Pan American,62,Seattle,83,,
Sat Feb 8 2014,Missouri-Kansas City,74,Chicago State,81,,
Sat Feb 8 2014,Cal State Bakersfield,70,Grand Canyon,79,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Feb 8 2014,Texas-Pan American,63,Idaho,70,OT,
Sat Feb 8 2014,New Mexico State,92,Seattle,77,,
Thu Feb 13 2014,Idaho,67,Cal State Bakersfield,76,,
Thu Feb 13 2014,Missouri-Kansas City,48,New Mexico State,71,,
Thu Feb 13 2014,Chicago State,68,Texas-Pan American,71,OT,
Thu Feb 13 2014,Seattle,71,Utah Valley,57,,
Sat Feb 15 2014,Seattle,65,Cal State Bakersfield,83,,
Sat Feb 15 2014,Chicago State,55,New Mexico State,84,,
Sat Feb 15 2014,Missouri-Kansas City,59,Texas-Pan American,68,,
Sat Feb 15 2014,Idaho,88,Utah Valley,89,,
Thu Feb 20 2014,Utah Valley,79,Chicago State,70,,
Thu Feb 20 2014,Cal State Bakersfield,74,Missouri-Kansas City,69,,
Thu Feb 20 2014,Grand Canyon,74,Seattle,73,,
Thu Feb 20 2014,New Mexico State,78,Texas-Pan American,61,,
Sat Feb 22 2014,Cal State Bakersfield,68,Chicago State,73,,
Sat Feb 22 2014,Grand Canyon,77,Idaho,83,,
Sat Feb 22 2014,Utah Valley,56,Missouri-Kansas City,74,,
Thu Feb 27 2014,Texas-Pan American,63,Cal State Bakersfield,61,,
Thu Feb 27 2014,Missouri-Kansas City,85,Grand Canyon,80,,
Thu Feb 27 2014,Chicago State,84,Seattle,77,3OT,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Thu Feb 27 2014,New Mexico State,61,Utah Valley,66,OT,
Sat Mar 1 2014,New Mexico State,72,Cal State Bakersfield,57,,
Sat Mar 1 2014,Chicago State,74,Grand Canyon,84,,
Sat Mar 1 2014,Idaho,68,Seattle,76,,
Sat Mar 1 2014,Texas-Pan American,42,Utah Valley,45,,
Thu Mar 6 2014,Idaho,79,Chicago State,76,,
Thu Mar 6 2014,Seattle,73,Missouri-Kansas City,82,,
Thu Mar 6 2014,Grand Canyon,57,New Mexico State,81,,
Fri Mar 7 2014,Cal State Bakersfield,55,Utah Valley,64,,
Sat Mar 8 2014,Seattle,53,Chicago State,67,,
Sat Mar 8 2014,Idaho,87,Missouri-Kansas City,80,,
Sat Mar 8 2014,Grand Canyon,79,Texas-Pan American,78,OT,
Thu Mar 13 2014,Chicago State,62,Cal State Bakersfield,68,,WAC Quarterfinal
Thu Mar 13 2014,Missouri-Kansas City,70,Idaho,73,,WAC Quarterfinal
Thu Mar 13 2014,Seattle,68,New Mexico State,70,,WAC Quarterfinal
Thu Mar 13 2014,Utah Valley,83,Texas-Pan American,63,,WAC Quarterfinal
Fri Mar 14 2014,New Mexico State,69,Cal State Bakersfield,63,,WAC Semifinal
Fri Mar 14 2014,Utah Valley,69,Idaho,74,,WAC Semifinal
Sat Mar 15 2014,New Mexico State,77,Idaho,55,,WAC Final
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Thu Jan 2 2014,Cleveland State,55,Green Bay,66,,
Thu Jan 2 2014,Youngstown State,76,Milwaukee,82,,
Thu Jan 2 2014,Illinois-Chicago,72,Valparaiso,87,,
Thu Jan 2 2014,Oakland,64,Wright State,76,,
Sat Jan 4 2014,Wright State,53,Detroit Mercy,58,,
Sat Jan 4 2014,Youngstown State,69,Green Bay,85,,
Sat Jan 4 2014,Cleveland State,77,Milwaukee,49,,
Sat Jan 4 2014,Valparaiso,70,Oakland,75,,
Tue Jan 7 2014,Youngstown State,75,Illinois-Chicago,62,,
Wed Jan 8 2014,Detroit Mercy,63,Cleveland State,73,,
Wed Jan 8 2014,Milwaukee,84,Oakland,75,,
Fri Jan 10 2014,Wright State,62,Valparaiso,45,,
Sat Jan 11 2014,Oakland,77,Detroit Mercy,69,,
Sun Jan 12 2014,Green Bay,93,Milwaukee,86,OT,
Sun Jan 12 2014,Illinois-Chicago,53,Wright State,58,,
Mon Jan 13 2014,Cleveland State,66,Youngstown State,67,,
Wed Jan 15 2014,Valparaiso,78,Detroit Mercy,70,,
Thu Jan 16 2014,Oakland,76,Cleveland State,86,,
Thu Jan 16 2014,Milwaukee,67,Illinois-Chicago,63,,
Fri Jan 17 2014,Green Bay,79,Wright State,69,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 18 2014,Milwaukee,62,Valparaiso,75,,
Sat Jan 18 2014,Detroit Mercy,63,Youngstown State,77,,
Sun Jan 19 2014,Wright State,49,Cleveland State,46,,
Sun Jan 19 2014,Green Bay,69,Illinois-Chicago,64,,
Tue Jan 21 2014,Milwaukee,57,Wright State,73,,
Wed Jan 22 2014,Oakland,69,Green Bay,83,,
Wed Jan 22 2014,Cleveland State,74,Illinois-Chicago,64,,
Thu Jan 23 2014,Valparaiso,74,Youngstown State,71,,
Fri Jan 24 2014,Detroit Mercy,73,Milwaukee,54,,
Sat Jan 25 2014,Valparaiso,50,Cleveland State,69,,
Sat Jan 25 2014,Illinois-Chicago,75,Oakland,76,,
Sat Jan 25 2014,Wright State,67,Youngstown State,68,,
Sun Jan 26 2014,Detroit Mercy,52,Green Bay,62,,
Wed Jan 29 2014,Illinois-Chicago,68,Detroit Mercy,74,,
Wed Jan 29 2014,Green Bay,60,Valparaiso,75,,
Thu Jan 30 2014,Wright State,64,Milwaukee,68,,
Fri Jan 31 2014,Cleveland State,86,Detroit Mercy,78,,
Fri Jan 31 2014,Youngstown State,85,Oakland,86,,
Sat Feb 1 2014,Wright State,55,Green Bay,62,,
Sat Feb 1 2014,Valparaiso,70,Illinois-Chicago,46,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sun Feb 2 2014,Oakland,64,Milwaukee,86,,
Wed Feb 5 2014,Illinois-Chicago,70,Green Bay,81,,
Wed Feb 5 2014,Youngstown State,67,Wright State,77,,
Thu Feb 6 2014,Cleveland State,92,Oakland,85,,
Fri Feb 7 2014,Detroit Mercy,59,Valparaiso,57,,
Sat Feb 8 2014,Milwaukee,73,Green Bay,63,,
Sat Feb 8 2014,Cleveland State,72,Wright State,68,,
Sun Feb 9 2014,Youngstown State,81,Detroit Mercy,83,OT,
Sun Feb 9 2014,Oakland,60,Valparaiso,63,,
