Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sun Mar 10 2013,Wichita State,65,Creighton,68,,MVC Final
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sun Nov 25 2012,West Virginia,70,Oklahoma,77,,Old Spice Classic
Sat Jan 5 2013,Texas,79,Baylor,86,OT,
Sat Jan 5 2013,Oklahoma State,67,Kansas State,73,,
Sat Jan 5 2013,Texas Tech,62,Texas Christian,53,,
Sat Jan 5 2013,Oklahoma,67,West Virginia,57,,
Tue Jan 8 2013,Baylor,82,Texas Tech,48,,
Wed Jan 9 2013,Iowa State,89,Kansas,97,OT,
Wed Jan 9 2013,Texas Christian,45,Oklahoma State,63,,
Wed Jan 9 2013,West Virginia,57,Texas,53,OT,
Sat Jan 12 2013,Texas Christian,40,Baylor,51,,
Sat Jan 12 2013,Texas,62,Iowa State,82,,
Sat Jan 12 2013,Oklahoma State,68,Oklahoma,77,,
Sat Jan 12 2013,Kansas,60,Texas Tech,46,,
Sat Jan 12 2013,Kansas State,65,West Virginia,64,,
Mon Jan 14 2013,Baylor,44,Kansas,61,,
Wed Jan 16 2013,West Virginia,67,Iowa State,69,,
Wed Jan 16 2013,Texas Tech,63,Oklahoma,81,,
Wed Jan 16 2013,Kansas State,67,Texas Christian,54,,
Sat Jan 19 2013,Oklahoma,60,Kansas State,69,,
Sat Jan 19 2013,Texas Tech,45,Oklahoma State,79,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 19 2013,Kansas,64,Texas,59,,
Sat Jan 19 2013,Iowa State,63,Texas Christian,50,,
Mon Jan 21 2013,Oklahoma State,54,Baylor,64,,
Mon Jan 21 2013,Texas,67,Oklahoma,73,,
Tue Jan 22 2013,Kansas,59,Kansas State,55,,
Wed Jan 23 2013,Iowa State,51,Texas Tech,56,,
Wed Jan 23 2013,Texas Christian,50,West Virginia,71,,
Sat Jan 26 2013,Kansas State,67,Iowa State,73,,
Sat Jan 26 2013,Oklahoma,54,Kansas,67,,
Sat Jan 26 2013,West Virginia,66,Oklahoma State,80,,
Sat Jan 26 2013,Texas Tech,57,Texas,73,,
Sat Jan 26 2013,Baylor,82,Texas Christian,56,,
Mon Jan 28 2013,Kansas,61,West Virginia,56,,
Wed Jan 30 2013,Oklahoma,74,Baylor,71,,
Wed Jan 30 2013,Texas,57,Kansas State,83,,
Wed Jan 30 2013,Iowa State,76,Oklahoma State,78,,
Sat Feb 2 2013,Baylor,71,Iowa State,79,,
Sat Feb 2 2013,Oklahoma State,85,Kansas,80,,
Sat Feb 2 2013,Kansas State,52,Oklahoma,50,,
Sat Feb 2 2013,Texas Christian,43,Texas,60,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Feb 2 2013,West Virginia,77,Texas Tech,61,,
