Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Mar 5 2014,Dayton,72,Saint Louis,67,,
Thu Mar 6 2014,George Mason,59,La Salle,57,,
Thu Mar 6 2014,Virginia Commonwealth,56,Richmond,50,,
Sat Mar 8 2014,Richmond,48,Dayton,60,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Mar 8 2014,George Washington,70,Fordham,67,,
Sat Mar 8 2014,Duquesne,81,George Mason,69,,
Sat Mar 8 2014,St. Bonaventure,67,Virginia Commonwealth,86,,
Sun Mar 9 2014,Saint Louis,64,Massachusetts,62,,
Sun Mar 9 2014,La Salle,71,Saint Joseph's,63,,
Wed Mar 12 2014,George Mason,67,Fordham,70,,A-10 First Round
Thu Mar 13 2014,Fordham,74,Dayton,87,,A-10 Second Round
Thu Mar 13 2014,Richmond,76,Duquesne,64,,A-10 Second Round
Thu Mar 13 2014,St. Bonaventure,82,La Salle,72,,A-10 Second Round
Thu Mar 13 2014,Rhode Island,61,Massachusetts,65,,A-10 Second Round
Fri Mar 14 2014,Saint Joseph's,70,Dayton,67,,A-10 Quarterfinal
Fri Mar 14 2014,Massachusetts,77,George Washington,85,,A-10 Quarterfinal
Fri Mar 14 2014,Virginia Commonwealth,71,Richmond,53,,A-10 Quarterfinal
Fri Mar 14 2014,St. Bonaventure,71,Saint Louis,68,,A-10 Quarterfinal
Sat Mar 15 2014,Virginia Commonwealth,74,George Washington,55,,A-10 Semifinal
Sat Mar 15 2014,St. Bonaventure,48,Saint Joseph's,67,,A-10 Semifinal
Sun Mar 16 2014,Virginia Commonwealth,61,Saint Joseph's,65,,A-10 Final
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Jan 7 2014,Vanderbilt,63,Alabama,68,,
Tue Jan 7 2014,Tennessee,68,Louisiana State,50,,
Wed Jan 8 2014,South Carolina,58,Florida,74,,
Wed Jan 8 2014,Mississippi State,63,Kentucky,85,,
Wed Jan 8 2014,Georgia,70,Missouri,64,OT,
Wed Jan 8 2014,Arkansas,53,Texas A&M,69,,
Thu Jan 9 2014,Auburn,62,Mississippi,65,,
Sat Jan 11 2014,Florida,84,Arkansas,82,OT,
Sat Jan 11 2014,Missouri,70,Auburn,68,,
Sat Jan 11 2014,Alabama,58,Georgia,66,,
Sat Jan 11 2014,Mississippi,72,Mississippi State,76,,
Sat Jan 11 2014,Louisiana State,71,South Carolina,68,,
Sat Jan 11 2014,Texas A&M,57,Tennessee,56,,
Sat Jan 11 2014,Kentucky,71,Vanderbilt,62,,
